restaurant,menu,review,annotator,food,delvice,label
타이거짬뽕,"타이거 짜장면/1(맛 선택(0.5단게 : 누구나 즐기는 맛)),바싹군만두 （4개）/1,면 곱빼기/1",면이 다뿔고 차가워서 냉짜장먹는줄,희락,1,3,1
투썸플레이스-방배역점,"아메리카노（L）/1(원두 선택(- 아로마노트),HOT／ICE 선택(- ICE)),아메리카노（L）/1(원두 선택(- 블랙그라운드),HOT／ICE 선택(- ICE)),오렌지자몽주스（L）/1",나쁘지 않아요..,희락,3,3,4
알부자찜전문점,"해물찜 /1(사이즈 선택(小)),공기밥/3,사이다 355mL  /1",배달이 너무너무 느리고 간장을 안챙겨주시네요 ㅠ,희락,3,1,3
봉구스밥버거-신수점,"햄치즈봉에그/2(토핑선택(햄,해쉬브라운)),손맛 된장국/1",예상시간 넘어서 전화했는데 픽업도 안되있는 상황배달대행을늦게불렀다고말씀하시는데 늦을것같으면 보통 전화주지않나요??이렇게늦게걸릴꺼였으면 안먹었습니다,희락,3,1,3
김뿌라스시,유부초밥/1,너무 깔끔하고 이쁘고 빨리 왔어요. 맛도 좋고 특히 국 통이 물통에 담겨와서 귀엽고 소풍온 기분나사 좋고 다 만족스러웠는데..다만 유부초밥은 밥이 꽉 차야한다고 생각했는데 너무 적어서 슬펐어요ㅠㅠ..그래도 맛있었어요.. 아참 배달 문앞에 놓으시고 전화주시라고 썼는데 노크하시고 직접 주고 가시네요 그것도 하나 아쉬웠습니다..,희락,3,3,4
토마토피자-장안점,"반반피자M/1(도우 선택(치즈크러스트),피자 선택(슈퍼슈프림피자,고구마피자))",감사합니다 잘목겠습니다,희락,5,3,7
명동피자-왕십리점,결정장애 SET/1(음료 선택(사이다 （500ml）)),저렴한 프랜차이즈에 비해 재료도 좋고 맛도 역시 좋았습니다. 하지만 익스프레스인데도 피자는 다 식어서 와서 다시 데워 먹어야 했어요. 파스타는 뜨거웠던걸로 봐서 피자가 먼저 나와서 대기하다 다 식은게 아닌가 싶어서 조금 아쉬웠습니다. 그리고 세트가격에 비해 피자 크기가 크지 않아 둘이 먹기에 양은 살짝 부족 했습니다.,희락,3,1,3
KFC-홍익대점,"갓양념치킨 5조각/1,핫크리스피치킨 5조각/1",맛잇어 새콤하고 달달하고,희락,5,3,7
계경순대국-성수역점,계경순대국/1((특)),오늘도 맛있게 잘 먹었습니다,희락,5,3,7
고기듬뿍통큰비빔밥-강남직영점,"세트（고기듬뿍비빔밥＋통큰찌개）1~2人/1(비빔밥 선택(달달갈비),찌개 선택(흑돼지김치찌개))",김치찌개 맛이 변했어요ㅜㅜ 삶은고기 따로 넣은것같고 두부도 금방 넣어서 냄새가 그대로네요 예전에는 안그랬던것같은데.. 비빔밥 고기양도 적어졌고 별로네요,희락,1,3,1
포탈라-종로점,"인도 세트（탄두리치킨＋커리 택1 버터치킨or소고기or새우＋한국 밥＋버터난＋샐러드＋음료 택1）/1(커리 선택(버터치킨 커리),음료선택(사이다 355ml))",맛 그럭저럭 괜찮음 양 세트메뉴 혼자먹으면 배부름 탄두리 치킨은 별로..,희락,3,3,4
피자헛-서울고점,"수퍼슈프림M （30% 할인가）/1(사이드박스 추가(크림치킨파스타 （50% 할인가）),더블박스 추가／선택(오리지날윙 4조각))",배달이 너무늦게도착,희락,3,1,3
1인용마라탕-영등포점,（인기）1人 이창궈 마라탕/1(맛 선택(기본맛)),맛있게 잘 먹었습니다,희락,5,3,7
야래향,"짬뽕밥/1,탕볶밥/1",진짜 살다살다..ㅋㅋ 볶음밥이나 탕수육이나 다 맛있었요 근데 진심 짬뽕국물엔 양파밖에 없고 소금물인지 너무 짜서 다 버렸고 탕수육엔 고기없는 튀김옷만 있던것도 있었고 일회용품 체크도 안했는데 숟가락 젓가락 2개씩 왔고 짬뽕밥은 내일 먹으려고 남겨놨거든요 짜면 물 엄청 넣고 끓여야겠어요..으ㅠㅠ진짜 이건 좀ㅠㅠ배달도 문앞에 놓고 문자달라니까 전화하시구..짬뽕국물이 너무 충격이었어요 대체 소금을 얼마나ㅠㅠ,희락,3,1,3
시루향기비빔밥-목동점,"시루향기 대표 콩나물국밥/2(맛 선택(중간맛)),공기밥 추가/1",1월3일.국밥2인공기밥1인추가했는데 공기밥1인추가한게 안오고 국밥2인에 포함된 공기밥2개만 왔어요. 전화번호도 모르겠고 배달비4천원이 아깝다는 생각도 들고 어떻게 해야할까요?,희락,3,1,3
공리-논현점,칠리탕수육＋짜장 or 짬뽕 or 볶음밥 中 택1/1(메뉴 선택(짜장)),"저번에도 짬뽕국물 좀 주세요 했는데 안 주시길래 깜박하셨나 했는데 이번에도 메모 남겼는데 안 주셨네요  짬뽕국물 그거 얼마한다고,, 다른곳보다 가격 2천원이상 비싼데 메모 남겼을때 짬뽕국물 안주는곳 처음봐요 열몇군데 시켜봤지만,,",희락,3,1,3
던킨-잠실본동점,"해피먼치킨컵 10EA/1,솔티 카라멜 바이츠/1,올리브츄이스티/1,카푸치노츄이스티/1,보스톤크림/1",도넛은 맛있는데 직원분들이 ~~,희락,5,1,6
짬뽕선생,세트12（탕수육＋짬뽕2）/1,가게가 엄청 멀리있었네요.. 모르고시켰더니..,희락,3,3,4
미사랑임실치즈피자,"단호박피자 /1(메뉴 선택(현미스크린R)),치킨텐더（5EA）/1,포테이토스틱/1,치즈오븐스파게티/1,고구마치즈스틱/1,젤라또아이스크림 1컵 200mL/1(메뉴 선택(바닐라 젤라또)),사이다  500ml/1",고객요청사항안보시고 실수해놓고사과한마디없으시고 고객응대도형편없고 맛없어요,희락,1,1,0
맥도날드-신도림테크노마트점,"트리플 치즈버거 라지 세트/1(사이드 선택（L）(후렌치 후라이 라지),음료 선택（L）(코카 콜라Ⓡ 라지))",트러플버거 인줄알고 주문했는데 트리플버거였어요ㅋ 나의 해태눈을 한탄합니다ㅋㅋ야채는 거의없고 패티와 치즈만 보입니다.  트러플버거가 새로 나온줄 알았어요ㅜㅜ  맥날은 역시 빅맥입니다.  식후감,희락,3,3,4
왕돈까스왕냉면,"물냉면/1,돈까스곱배기（수제1쪽）/1","배달도 나름 빨리왔고, 맛있게 먹었어요",희락,5,5,8
원당뼈해장국-서초점,"원당뼈찜/1(기본(대),조리 선택(조리),추가(기본))",뼈짐은 맛있는데 당면이나 다든건 너무 매워요. 마라탕보다 매워 못먹겠습니다,희락,3,3,4
푸라닭-응봉점,"순살 블랙마요/1,코카콜라 500ML（추가）/1",맛은있지만 치킨이 다식어서왔어여..70분 예상이였는데 90분 넘어서 도착..기다리다지쳤음..,희락,5,1,6
북경중화요리-문래점,"짜장면/2,3 set（탕수육＋짜장1＋짬뽕1＋콜라）/1(추가 선택(짜장 곱빼기 추가,짬뽕 곱빼기 추가))",배달 빠르고 맛있었어요~^^,희락,5,5,8
굽네치킨&피자-충무로점,"슈림프 시카고 딥디쉬 피자/1(사이드 메뉴(치킨 무,갈비천왕 치즈치밥))",보통 콜라는 기본적으로 같이 주지 않나요? 없어서 따로 사 먹었네요. 비싼 가격에 비해 그렇게 맛있는지도 모르겠네요. 저렴한 다른 음식점들이 맛이 더 좋은데 굳이 비싼 돈 주고 여기서 먹어야 하나 싶네요. 실망스럽습니다.,희락,3,1,3
피자나라치킨공주-관악구청점,치즈피치세트 M/1(치킨메뉴 선택(양념치킨 변경)),양념치킨 간간! 피자 맛 굿!!,희락,3,3,4
어사출또-사당역점,광어/1(사이즈 선택(2인)),일단 주문한 것과 다른 메뉴광어주문했는데 우럭이 옴ㅡ전 우럭 안좋아합니다가와서 별점은 최하입니다ㅡ전화를해서 따질수도 있는 문제이지만 그냥 먹었습니다 리뷰이벤 서비스도 아무말씀없이 연어로 대체ㅡ제가연어를좋아하면 더좋았겠지만 전 연어를 못먹습니다ㅜ 주문과다른메뉴 아무런 연락없이 임의대로 대처하는방식은 문제가 있네요ㅡ사장님께서 리뷰보시면 기분나쁘시겠지만 솔직하게 리뷰를남겨놓는게 좋을꺼같네요ㅡ,희락,3,1,3
피스인더커피,"아메리카노（디카페인 선택 가능）/1(HOT or ICE 선택(HOT),맛 선택(디카페인（C type）)),카페라떼（디카페인 선택 가능）/1(HOT or ICE 선택(ICE),맛 선택(디카페인（C type）))","픽업이 잘못되어서 다시받아서 엄청 오래걸렸어요.. 재사용컵이라지만 가격대비 음료량도 적고, 디저트는 맛있는데 음료는 비추에요.",희락,3,1,3
롯데리아-건대역점,"데리버거/1(햄버거 토핑 추가(토마토 토핑)),더블핫크리스피세트/1(디저트 변경(선택 포테이토（L）),드링크 변경(선택 사이다（R）))",무난하게 먹는 버거~ 신메뉴 크기커서 반만먹어도 배부른..,희락,5,3,7
탐나종합어시장-난곡사거리점,"광우세트（광어＋우럭）/1(사이즈 선택(중),찜,별5개 후기약속(찜, 별5개 후기약속 소라무침))",보통 스키다시가 없으면 회 양이 다른곳에비해 많던지 아님 스키다시가 오던지 해야는데 회만 덜렁 오는데 양은 적네요 회시켜먹고 돈아까운적은 처음,희락,1,3,1
파리바게뜨-신당점,"고구마가달구마/1,시나몬 롤식빵/1",잘먹었어요 또 주문할께요,희락,5,3,7
굽네치킨&피자-광장점,갈비천왕치킨＋허니멜로 피자/1,너무 늦어요 1시간넘게 걸리고,희락,3,1,3
고고즉석떡볶이-신도림점,"고고즉석떡복이 세트 /1(사이즈 선택(2인 세트),맛 선택(매운 맛),조리 여부 선택(조리)),꼬마김밥/1",맛도 좋고 양도 많아 너무 좋은데 배달 시간이 좀 짧았으면 좋겠네요 한시간 너무 지쳐요ㅠㅠ,희락,5,1,6
롤앤스파게티-화곡점,"잔치국수/1,칼국수/1",칼국수 다 뿔어서 버렸습니다 . 슬프네요,희락,1,3,1
맥도날드-삼성역점,"행운버거 골드 세트/1(사이드 선택（M）(컬리 후라이 미디움),음료 선택（M）(코카 콜라Ⓡ 미디엄)),슈비버거 세트/1(사이드 선택（M）(후렌치 후라이 미디엄),음료 선택（M）(스프라이트Ⓡ 미디엄)),맥스파이시Ⓡ 상하이버거 세트/1(사이드 선택（M）(후렌치 후라이 미디엄),음료 선택（M）(코카 콜라Ⓡ 미디엄)),베이컨 토마토 디럭스™ 세트/1(사이드 선택（M）(후렌치 후라이 미디엄),음료 선택（M）(코카 콜라Ⓡ 미디엄)),단품 상하이 치킨 스낵랩Ⓡ/1,코카 콜라Ⓡ 라지/1",배달 너무 늦게옴..,희락,3,1,3
오니기리와이규동-성수점,"규동/1(사이즈 선택(Medium),계란 추가(계란 추가))",계란추가했는데 계란이 없습니다. 그리고 배달도 늦었습니다.,희락,3,1,3
연어아저씨-용답점,연어초밥 10P/1,연어가 엄청 크고 맛있어요..ㅜ 근데 밥이 좀 질었어요,희락,3,3,4
놀부보쌈족발-서초점,"놀부보쌈 중/1(목등심 변경(목등심 변경),사이드(공기밥))",공기밥 추가했는데 공기밥이 안왔어요. 전화번호도 없고 인터넷에 검색하도 번호가 안나와서 결국 문의를 못드렸어요. 밥 없이 잘 먹었습니다.,희락,3,1,3
화폭마라오리목전문점,"냉면구이 烤冷面 1人/1,마라오리곱창 鸭肠 1人/1,마라룽샤꼬리 麻辣龙虾尾  1人/1,마라오리목 鸭脖 3개/1",조아ㅏㅏ,희락,5,3,7
피스인더커피,"아메리카노（디카페인 선택 가능）/1(HOT or ICE 선택(ICE),맛 선택(고소함（A type）)),아메리카노（디카페인 선택 가능）/1(HOT or ICE 선택(ICE),맛 선택(디카페인（C type）))",익스프레스라더니 엄청 늦게 와서 실망합니다,희락,3,1,3
길동우동-봉천역점,"길동김밥/1,비빔국수/1(추가 선택(면곱빼기 추가)),모둠튀김/1",모둠튀김 어딧어요..,희락,3,1,3
더잘만든닭강정,순살간장맛반＋순살매운맛반 대/1,치킨 한마리 시키면 둘이서 먹고 남는데 닭강정은 또 다르네요 대짜리 시켜서 둘이서 다 먹었어요 배가 고프기도 했지만 양은 대짜리치고 작은 거 같아요 맛은 보통.,희락,3,3,4
피자헛-방배2호점,"치즈판타지 L（30% 할인가）/1(토핑추가선택([50%]치즈토핑추가),사이드박스 추가(크림치킨파스타 （50% 할인가）)),리치치즈 파스타/1",두번은 아니네요~ 생각보다너무해요치즈도얇고  늘어나지도않고,희락,1,3,1
더블플레이치킨-홍대점,"핫크리스피치킨/1(뼈 or 순살 선택(순살)),콜라 1.25L/1",잘먹었습니다,희락,5,3,7
정다함돈가스-신림점,식사콤보세트3（치즈1＋안심치킨2＋민찌2）/1,생각보다 진짜 맛있어요  돈까스 시켜먹던것중에 진짜 최고!!,희락,5,3,7
카츠하루-목동본점,김볶카츠팩/1(카츠메뉴 선택(히레카츠1／2P)),맛나네요ㅎㅎ 번창하세요,희락,5,3,7
육갈탕-신림점,"보양 육개장 1人/1,얇은피 왕만두/1",맛없다 제정신이 아니구만,희락,1,3,1
최고의족발-장안본점,"최족족발 /1(사이즈 선택(大)),최족 직화 불족발 /1(보쌈 사이즈 선택(小))",배달도 빠르고 맛있게 먹었어요^^,희락,5,5,8
BBQ-명동스타점,황금올리브치킨/1(추가메뉴(볼케이노핫소스)),"튀김맛이 지존,,잘먹었습니당",희락,5,3,7
토마토김밥-까치산역점,"야채김밥/1,참치주먹밥/1(메뉴 선택(매콤깨),추가 선택(빅사이즈로 변경)),쫄볶이/1,쫄면/1",좀 많이 실망스러웟습다  맛은 평범햇습니다. 근디 양은 떡볶이 양이 너무.. 분명 쫄볶이긴 하지만 떡이 6개? 7개뿐이 없더라구요 바쁘셔서 실수 하신건지.. 그리고 배달은 한시간 정도 되서 오더라구오 점심 시간이라서 그런가 그보다 너무 안와서 전화 드렷을때 뭐랄까 자세히 모르시는건가..? 알아보셔야하지 않나 생각이 들정도로 조금.. 그리고 배달이 저희집이 601호인데 604호 앞에 두시고.. 날이더워 그런지 쫄면도 미지근하고 그랫네요..조금 많이 실망스러워여 첨시키는데,희락,1,1,0
바르다김선생-당산역점,"바른 김밥/1,철판 불고기 덮밥/1",불고기덮밥이 맛있고 고기양도 넉넉히 주셔서 잘 먹었습니다,희락,5,3,7
굽네치킨&피자-신정2동점,"고추바사삭,（순살）/1",배달이 배달 기사 잘못인지 예상 시간보다 늦게 와서 치킨이 다 식었네요 안 식었으면 더 맛있었을거 같습니다,희락,5,1,6
통영다찌,"게장/1,혼술용 회/1","맛있ㅆ어요. 1인배달 ,메뉴도 괜찮구요",희락,5,3,7
피스인더커피,"아메리카노（디카페인 선택 가능）/1(HOT or ICE 선택(ICE),맛 선택(디카페인（C type）)),카페라떼（디카페인 선택 가능）/1(HOT or ICE 선택(ICE),맛 선택(고소함（A type）))",라떼 시켰는데 왜 계속 아메리카노로 오는 건지 모르겠네요,희락,3,1,3
혼술식당in안암점,혼술알찜/1,맛있어용 매콤달콤 단맛이 강한 느낌 ㅎㅎ 담에 또 시킬래요,희락,5,3,7
일일향-성수점,"짜장면/1,옛날짬뽕/1(곱빼기 추가 선택(곱빼기 추가)),옛날볶음밥＋후라이/1",짜장소스가 좀달긴 했는데 볶음밥과짬뽕은 일품입니다 대체적으로 완전만족이에요 번창하세요,희락,3,3,4
덮덮밥-서울행당점,"고소고소 곱창덮밥/1(숙주선택(숙주 있기),양파선택(양파 있기))",맛있습니다~~,희락,5,3,7
싸움의고수-건대점,"1인 싸움보쌈L/1(추가 메뉴선택1(쌈세트1（상추4장＋깻잎4장）,미소장국 （ 1인분 ）))",맛있게 잘 먹었어용 !  서비스도 원하는 음료로 잘 받았습니당!,희락,5,5,8
기대만족-본점,부드러운 족발＋쟁반국수/1(사이즈 선택(小)),어제 시켰지만 오늘에서야 다 먹어서 리뷰 씁니다. 앞으로 족발은 여기만 먹습니다.,희락,5,3,7
9CAFE-역삼점,"아메리카노/1(HOT or ICE 선택(HOT),사이즈 선택(큰거（2배 용량）)),아메리카노/1(HOT or ICE 선택(ICE),사이즈 선택(큰거（2배 용량）)),베이직 핫도그/2,모카＋녹차 마카롱/1,민트 마카롱/1,블루베리 마카롱/1",맛있어요~~ 소스가 좀 더 없어도 좋을 것 같아요~,희락,3,3,4
네네치킨-구로테크노마트점,"후라이드/1,양념치킨/1",조카들이 네네 좋아해서 동생집에 선물로 보낸건데  도착도 안했는데 배달완료가 뜨고 10분 지나서 배달왔어요  다른 때보다 짜다고 하네요,희락,1,1,0
할랄가이즈-홍대점,"치킨 플래터/1(사이즈 선택(Regular),토핑 추가(Pita Bread  추가))",음식은 차갑고 피타빵은 날것이었다.,희락,1,3,1
돈가스연구소,"맥앤치즈돈가스/1,매콤까르보나라/1",??,희락,3,3,4
원할머니보쌈족발-신정점,"모둠보쌈/1(보쌈사이즈선택4(중（생육710g이상,수육500g）))",자주 시켜 먹었는뎅.. 오늘은 실망이네요.. 배추쌈은 물기가많고  떡은 미끌미끌.. 채소도 약간 싱큼한 맛나구. 오늘은  진심  실망 입니다,희락,1,3,1
피자헛-양평점,팬 페페로니 （L） ＋옛날치킨 반마리 （7조각） ＋ 콜라 1.25L/1,맛은 있었으나 지나치게 짜서.. 많이 못 먹었던 것 같습니다 컵은 주시는줄 알았는데 안주시나 보네요,희락,3,3,4
한길한식당,1인 보쌈 정식＋1인 고추장 찌개/1,너무맛나요 주말에 또주문할께요,희락,5,3,7
교촌치킨-종로1호점,교촌반반콤보/1,크기가 좀 작네요 잘먹었습니다,희락,3,3,4
영진마라탕,"마라탕/1(사이즈 선택(대),맛선택（1／10단계）(중간맛 오리지날 3／4단계),야채류(숙주,청경채,배추,시금치,숙갓),버섯류(팽이버섯,새송이버섯,느타리버섯,백목이버섯,흑목이버섯,표고버섯),면(중국넓적당면,중국 쌀국수,수정당면,화미당면,분모자),고명(푸주,건두부,네모두부,유두부,치즈떡,감자,떡국떡,연근))","대로 시켰는데 중짜리가 왔나봐요.. 푸주랑 감자가..맛이 안좋아요. 마라탕자체는 중국에서 먹던것과 같은 맛있는 맛인데, 재료관리에 신경쓰셔야할듯해요. 중이랑 대랑 양 차이가 없어요..ㅡㅡ",희락,1,3,1
현경,"유니짜장/2,잡탕밥/1",맛있게잘먹을게요~감사합니다,희락,5,3,7
위치스,더블치즈 비프 샌드위치＋1인분 감자튀김/1,항상 매장에서만 먹었는데 배달팁 무료길래 주문해봤어요~ 역시 맛있네요 배달도 빠르구ㅋㅋ 위치스는 커피도 맛있답니다  잘먹었습니당!!,희락,5,5,8
명품임실치즈피자-마포점,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(페파로니피자L),L 추가 선택(씬도우 추가),추가 선택(치즈스틱5개))",식은 피자와 굳은 스파게티 눅눅한 치즈스틱!  겨울인건 알지만  너무하네요,희락,3,3,4
치킨매니아-서강대점,싹쓰리치킨편 [레게노치킨2탄]/1,맛있게 잘 먹었습니다~~!,희락,5,3,7
응급실국물떡볶이-삼전점,"응급실국물떡볶이（떡많이）/1(맛 선택(중상맛),치즈 추가 선택(치즈 추가),토핑 추가 선택(당면사리 추가,떡 추가)),모듬튀김 10개 /1",먹어도먹어도질리지않는ㅋㅋ맛ㅋ 오늘도튀김도시켰는데ㅋㅋ 바삭하고진짜맛있어요ㅋ,희락,5,3,7
찡떡통오징어떡볶이-한양대점,"1인분 국물떡볶이/1(매운맛 선택(매운맛100%（초월세계）),토핑 메뉴 추가선택(모짜렐라 치즈 추가,중국당면 추가)),미니핫도그 3개/1,김말이튀김（3개）/1",중국 당면을 추가까지 해서 시켰는데 다 불어 터져가지고 와서 다 버렸어요..,희락,1,3,1
교촌치킨-봉천4호점,교촌반반윙/1(사이드 메뉴(선택안함)),마치 전날 튀겨놓은 닭 먹는 기분이었어요 배달을 몰아서 하신건지는 몰라도 맛이 많이 떨어져 별을 많이 못 누르겠.. 다음에 시켜먹을땐 고민 좀 해봐얄거 같아요  개선바랍니다,희락,1,1,0
