restaurant_name,user_id,menu,review_create_time,min_cost,subway,address,category_name,review_context,preprocessed_review_context,total_star,taste_star,quantity_star,delivery_star,image_url,insert_time,keyword
유가네왕족발,손님,족발 大/1,2019-11-16 00:00:00,"23,000원",2호선 신정네거리역,서울 양천구 신정동 1030-1 1층 우측부분,족발/보쌈,배달도 빠르고 양도 엄청많이 주셨어요 맛있어요~또 주문할께요,배달도 빠르고 양도 엄청많이 주셨어요 맛있어요~또 주문할께요,5,5,5,5,-1,2021-12-16 06:43:13,그 재빠르 게 나 많 돈 주 다
킹케밥-역삼점,st**님,"램 케밥（Lamb Kebab）/1(세트로 변경 추가 선택(선택 안함)),램 케밥（Lamb Kebab）/2(세트로 변경 추가 선택(감자튀김＋다이어트 콜라 Diet Coke))",2021-09-05 00:00:00,"13,900원",2호선 역삼역,서울특별시 강남구 역삼동 737 강남파이낸스센터 지하1층 G호,"피자/양식, 야식, 분식",그냥 또띠아에 파는 케밥만 먹어보다가 이거 먹었는데 반죽 뭔일인가요. 진짜 맛나요. 그리고 배달해주시는분 사장님이신지는 모르겠는데 넘 친절해요!!!,그냥 또띠아에 파는 케밥만 먹어보다가 이거 먹었는데 반죽 뭔일인가요. 진짜 맛나요. 그리고 배달해주시는분 사장님이신지는 모르겠는데 넘 친절해요!!,5,5,5,5,-1,2021-12-09 01:22:49,케이크 먹 으면서 이걸 는데 반죽 문제 있
롯데리아-신당역점,ru**님,"DoubleX2버거/1,불고기버거/2,포테이토/1",2021-02-11 00:00:00,"9,000원",2호선 신당역,"서울 중구 신당동 130-20 지상 1,2층","1인분 주문, 프랜차이즈, 치킨",불고기버거는 불고기소스 맛에 먹는건데 ㅜㅜ 다음번엔 소스좀 더 넣어주세요....고기맛만 느껴져요.소스빼고 다 좋습니다~~~~,불고기버거는 불고기소스 맛에 먹는건데 ㅜㅜ 다음번엔 소스좀 더 넣어주세요..고기맛만 느껴져요.소스빼고 다 좋습니다~~,4,3,3,4,-1,2021-12-08 14:52:35,불고기 버거 소고기 소스 좋 지만 잘 먹
캔더비-본점,dl**님,"아이스티/1(사이즈 선택(기본)),핫도그（오리지널）/1,멘보샤（6p）/1",2020-08-20 00:00:00,"7,000원",2호선 잠실나루역,서울특별시 송파구 가락동 133 1층 104호,"1인분 주문, 카페/디저트",핫도그랑 아이스티 다 맛있게 먹었고... 이 멘보샤도 맛은 좋았는데 5천원이라는 가격에 비해 양이 아쉬워도 너무 아쉬웠네요ㅠ 솔직히 처음 받았을 때는 너무 적어서 약간 화가 나기까지 했습니다... 양을 더 늘리실게 아니라면 주문메뉴 사진이라도 바꿔주셔야 할듯,핫도그랑 아이스티 다 맛있게 먹었고.. 이 멘보샤도 맛은 좋았는데 5천원이라는 가격에 비해 양이 아쉬워도 너무 아쉬웠네요ㅠ 솔직히 처음 받았을 때는 너무 적어서 약간 화가 나기까지 했습니다.. 양을 더 늘리실게 아니라면 주문메뉴 사진이라도 바꿔주셔야 할듯,3,5,3,5,-1,2021-12-12 04:16:39,뜨거운 개 아이스티 모두 맛있 게 먹 는데 금액 원 가격 못 미치 것 아쉬웠 ᅲ 솔직히 처음 받 때 너무 작 아서 조금 화 났
부부도시락-서울남부점,pi**님,"김치찌개/1,버섯불고기덮밥/1",2020-04-15 00:00:00,"16,000원",2호선 대림역,서울특별시 영등포구 대림동 689 문화빌딩 689 문화빌딩 1층 103호,일식/돈까스,"리뷰당첨후기입니당!
감사해요😃💝
이렇게나 몸에 좋은걸 주시다닝ㅠㅠ
배달해준 음식도 잘먹었습니다",리뷰당첨후기입니당! 감사해요   이렇게나 몸에 좋은걸 주시다닝ㅠㅠ 배달해준 음식도 잘먹었습니다,5,5,5,5,https://rev-static.yogiyo.co.kr/315203b8ad70c5bb5cea80a89b0285f1.jpg https://rev-static.yogiyo.co.kr/b69d3124f257d9e61289cd38b9060836.jpg,2021-12-08 23:26:44,리뷰 우승
더리터-대림역점,pj**님,"수제와플 2개/1(메뉴 선택(초코)),카라멜마끼아또/1(HOTorICE 선택(ICE 리터))",2021-06-08 00:00:00,"9,000원",2호선 대림역,서울 영등포구 대림동 809 1층,"프랜차이즈, 카페/디저트",커피도 진짜 제입맛에 딱이여서 너무 맛있게 먹었어요 커피양도 많아서 너무 좋았구요 그리고 와플생크림이 가득해서 정말 달달하니 좋았습니다,커피도 진짜 제입맛에 딱이여서 너무 맛있게 먹었어요 커피양도 많아서 너무 좋았구요 그리고 와플생크림이 가득해서 정말 달달하니 좋았습니다,5,5,5,4,-1,2021-12-16 16:45:49,맛 딱 맞 아서 너무 맛있 게 먹
밀포유-신촌점,lo**님,2人 샤브칼죽세트 얼큰매콤（소고기200g＋8색샤브＋얼큰매콤500mL육수＋3색소스2SET＋3색반찬＋칼국수＋영양죽）/1,2021-10-16 00:00:00,"17,000원",2호선 신촌역,서울 마포구 노고산동 19-52 2층,일식/돈까스,"칼칼하면서 담백하고 깔끔한 국물에
산처럼 푸짐한 양의 야채와 신선한 고기를 넣어 보글보글 끓여 먹으니 피로가 말끔히 사라지는 맛이었습니다!
칼국수도 생면이라서 금방 끓고 면도 보들보들하고 쫀득쫀득해서 너무 맛있었어요.
무엇보다도 마지막으로 계란을 톡 풀어 은근하게 끓인 죽이 식사의 화룡점정이었습니다.",칼칼하면서 담백하고 깔끔한 국물에 산처럼 푸짐한 양의 야채와 신선한 고기를 넣어 보글보글 끓여 먹으니 피로가 말끔히 사라지는 맛이었습니다! 칼국수도 생면이라서 금방 끓고 면도 보들보들하고 쫀득쫀득해서 너무 맛있었어요. 무엇보다도 마지막으로 계란을 톡 풀어 은근하게 끓인 죽이 식사의 화룡점정이었습니다.,5,5,5,5,https://rev-static.yogiyo.co.kr/b04522a96f2e8a1cfdb60c72fc149b3d.jpg https://rev-static.yogiyo.co.kr/0b988a271e884ddc03b4b0c324e2d171.jpg https://rev-static.yogiyo.co.kr/88976cd6e0555ac4483f59f4302797fc.jpg,2021-12-09 01:15:28,신선 하 고 상큼 깔끔 한 수프 채소 고기 더 해 지 면서 피로감 맛 완전히 사라진다
피자헛-왕십리한양대점,do**님,"페페로니L/1(토핑추가선택(선택하지 않음),사이드박스 추가(선택하지 않음)),콘샐러드 （50% 할인가）/1,코울슬로 （50% 할인가）/1,바른생피클L/1",2021-05-14 00:00:00,"19,900원",2호선 한양대역,서울 성동구 행당동 130-120 3층,피자/양식,배달 빠르고 좋아요. 피자도 맛있구요. 기름기 많은 거 고려해서 밑에 종이를 두세장 더 깔아 주시면 좋을거 같아요. 타 지점에서 주문했을때 여러장 깔아주시니 좀 더 깔끔해서 좋았어요ㅎㅎ,배달 빠르고 좋아요. 피자도 맛있구요. 기름기 많은 거 고려해서 밑에 종이를 두세장 더 깔아 주시면 좋을거 같아요. 타 지점에서 주문했을때 여러장 깔아주시니 좀 더 깔끔해서 좋았어요ㅎㅎ,5,5,5,5,-1,2021-12-08 12:48:15,기름 많 점 고려 해 종이 개 더 내려놓 게 좋 것 같
스시한끼,sh**님,요기요한끼초밥13P/1,2021-01-08 00:00:00,"13,000원",2호선 아현역,서울 마포구 아현동 777 마포 래미안 푸르지오 상가1동 1층 115호,일식/돈까스,양도 엄청 많고 서비스도 주셔서 배부르게 먹었어요!배달도 엄청 빠르게 와주셨어요,양도 엄청 많고 서비스도 주셔서 배부르게 먹었어요!배달도 엄청 빠르게 와주셨어요,5,5,5,5,-1,2021-12-16 08:44:35,배달 아주 빨리 왔
굽네치킨&피자-잠실1호점,l0**님,오리지널 치킨 ＋ 시카고 딥디쉬 피자/1,2021-10-21 00:00:00,"15,000원",2호선 잠실나루역,서울특별시 송파구 신천동 7 장미아파트 7 1층 118호,"프랜차이즈, 치킨, 피자/양식, 야식",솔직히 피자 비주얼보고 그래 치킨집이니까... 했는데 피자 진짜 존맛탱 꼭 드세요,솔직히 피자 비주얼보고 그래 치킨집이니까.. 했는데 피자 진짜 존맛탱 꼭 드세요,5,5,5,5,https://rev-static.yogiyo.co.kr/90e2523cabf1a6c5c055859b5238f75b.jpg https://rev-static.yogiyo.co.kr/0371e4fad95642aac71d2463d9ee1c09.jpg https://rev-static.yogiyo.co.kr/38cd2c7a8da71cf03728ec790b0ab68d.jpg,2021-12-08 19:45:51,피자 비주얼 보 며 치킨 집 다 그랬 지만 진짜 먹 어야 해
호식이두마리치킨-신림점,ki**님,"플라윙세트（윙＋봉＋콜라）/1(플라윙 소스선택(매운간장),기본음료선택(콜라 기본))",2021-10-19 00:00:00,"13,000원",2호선 신대방역,서울 관악구 신림동 513-23 1층,치킨,뜻밖의 메뉴 발견! 자주 메뉴에 없어지는데 계속 팔아주세요 #식후감,뜻밖의 메뉴 발견! 자주 메뉴에 없어지는데 계속 팔아주세요  식후감,4,4,5,5,https://rev-static.yogiyo.co.kr/ef8e99fb0ff1a215ff7cb999dfbebd76.jpg,2021-12-08 21:37:46,메뉴 자주 잃 어 버리 경우 많 으니 계속 팔 아야 한다
돈까스퐁당떡볶이공수간-방배점,su**님,"로제떡볶이 | 4단찬합（떡튀순밥음료）/1(떡볶이맛선택(기본맛),순대변경(변경없음（순대）),토핑밥선택(토핑밥_참치마요밥),음료선택(콜라 500ml),돈까스 선택(치즈등심돈까스))",2021-06-13 00:00:00,"17,000원",2호선 사당역,서울 서초구 방배동 866-10 방배 마에스트로 1동 지층 B103호,분식,맛있어요. 로제떡볶이 적당히 매워서 좋아요.  배달도 예정보다 빨리왔어요,맛있어요. 로제떡볶이 적당히 매워서 좋아요.  배달도 예정보다 빨리왔어요,5,5,5,5,-1,2021-12-08 23:06:20,약간 매운 것 좋 다
KFC-홍익대점(심야),ji**님,베스트치킨버켓팩（오리지널치킨4＋핫크리스피치킨4＋그레이비소스＋스위트칠리소스＋케이준후라이（M）＋코울슬로＋콜라（L）2）/1,2021-05-07 00:00:00,"10,000원",2호선 이대역,서울 마포구 동교동 165-8 LG팰리스빌딩 1-2층,1인분 주문,다 식어서 온 것 까진 그려려니 하겠지만 콜라에 얼음이 아예안남을 정도...인가? 아니면 애초에 얼음을 안넣은 것인가...,다 식어서 온 것 까진 그려려니 하겠지만 콜라에 얼음이 아예안남을 정도..인가? 아니면 애초에 얼음을 안넣은 것인가..,3,3,4,4,https://rev-static.yogiyo.co.kr/804424c077b653bd8744041187367679.jpg,2021-12-09 02:08:55,코크 얼음 너무 많이 남 아 있 어서 처음 넣 지 않 다
전국3대치킨오성통닭-강남점,br**님,"순살 크러스터 세가지맛 세트（후라이드1＋치킨 택2＋소스＋소금＋치킨무＋콜라245mL）/1(치킨 선택1(뿌링치즈),치킨 선택 2(타코야키),음료 추가 선택(변경 안함),사이드 추가 선택(감자튀김＋야채튀김 세트로 변경))",2020-07-31 00:00:00,"14,000원",2호선 선릉역,서울특별시 강남구 역삼동 696-7 1층,"프랜차이즈, 치킨, 야식",내인생은 오성통닭을 먹기전과 먹은후로 나뉜다,내인생은 오성통닭을 먹기전과 먹은후로 나뉜다,5,5,5,5,https://rev-static.yogiyo.co.kr/a42e12b22b59c40ccabd0595c8ff0842.jpg https://rev-static.yogiyo.co.kr/56ba8b37aaa159261ad9e21573a86983.jpg,2021-12-09 00:49:24,가지 스타일 닭 먹 전 후 나눠
코바코-신림점,me**님,"모둠가스/1,모둠초밥/1(반우동 추가（정식）(반우동 추가（정식）))",2020-12-25 00:00:00,"8,000원",2호선 신림역,서울 관악구 신림동 1422-10 대현빌딩 1층,1인분 주문,초밥은 시판 쓴 것처럼 비린내가 나고 가격대비 퀄리티도 별로고 돈가스는 눅눅하고 딱딱하고 고기가 질기네요 생선가스랑 샐러드는 맛있게 먹었어요,초밥은 시판 쓴 것처럼 비린내가 나고 가격대비 퀄리티도 별로고 돈가스는 눅눅하고 딱딱하고 고기가 질기네요 생선가스랑 샐러드는 맛있게 먹었어요,2,2,4,4,-1,2021-12-08 20:40:38,시장 나온 것 오싹 해서 가격 비해 품질 좋 지 않 고 돼지고기 가스 습하 단단 하 소고기 많
롯데리아-홈플러스합정점,ys**님,"불고기버거세트/1(디저트 변경(선택 치즈스틱),드링크 변경(세트 콜라（R）)),콘샐러드/1,치킨너겟/1",2021-03-17 00:00:00,"9,000원",2호선 합정역,서울 마포구 서교동 490 메세나폴리스 홈플러스합정점 B2층 C25호,"1인분 주문, 치킨",늘 좋은서비스와 빠른배달로 맛있게 잘 먹고 있어요^^,늘 좋은서비스와 빠른배달로 맛있게 잘 먹고 있어요^^,5,5,5,5,-1,2021-12-16 07:51:55,좋 서비스 빠른 배달 잘 먹 고 있 다
백종원의리춘시장'중화요리주점'-신림역점,so**님,"멘보샤/1,리춘바지락볶음/1,마파두부/1,계란볶음밥/1",2020-12-23 00:00:00,"13,000원",2호선 신림역,서울 관악구 신림동 1639-65 서연 1~3층,중국집,"맛잇네욤... 짱이당..
양이 조금 아쉬웠는데 진짜 맛있네요..!!",맛잇네욤.. 짱이당.. 양이 조금 아쉬웠는데 진짜 맛있네요..!!,5,5,4,5,https://rev-static.yogiyo.co.kr/a89a027a524fb65b138bdf6bbcc6c705.jpg,2021-12-08 20:44:34,장예 당 양 잃어버려서 미안 하 지만 정말 맛있 어
떡순튀-영등포점,qk**님,세트3（떡볶이＋순대＋튀김＋부산오뎅）/1,2021-09-29 00:00:00,"14,000원",2호선 영등포구청역,서울 영등포구 당산동1가 357 1층,분식,맛잇게 남김없이 다 먹었습니다 감사합니다,맛잇게 남김없이 다 먹었습니다 감사합니다,5,5,5,5,https://rev-static.yogiyo.co.kr/93fa199244258da8967aaf67d757f77d.jpg,2021-12-08 17:28:34,나 흔적 없이 다 먹 고마워요
서오릉피자-관악점,go**님,핫칠리킹새우L/1(도우 추가 선택(선택 안함)),2020-07-22 00:00:00,"14,000원",2호선 낙성대역,서울 관악구 봉천동 1686-21 호전크리닉스타워 1층 102호,피자/양식,너무맛있어요 ㅎ0ㅎ .... 정신없이 먹었습니다,너무맛있어요 ㅎ0ㅎ .. 정신없이 먹었습니다,5,5,5,5,-1,2021-12-16 14:51:24,나 정신 차리 고 있 네 선생 님
롯데리아-남성역점,ko**님,"핫크리스피버거세트/1(디저트 변경(선택 양념감자（칠리）),드링크 변경(선택 사이다（L）)),양념감자/1(시즈닝 선택(시즈닝_칠리맛)),지파이 하바네로（L）/1",2021-10-06 00:00:00,"9,000원",2호선 사당역,서울 동작구 사당동 249-84 사당동B상가 1층,1인분 주문,양념감자 주문이 안되는 날이 많은데 오늘은 주문이 되서 너무 좋아요~맛있는 점심 먹었어요,양념감자 주문이 안되는 날이 많은데 오늘은 주문이 되서 너무 좋아요~맛있는 점심 먹었어요,4,4,4,4,-1,2021-12-09 00:25:30,감자튀김 주문 할 때 좋 아 한다 나 점심 잘 먹 오 맙소사 식사 했 다
교촌치킨-잠실1호점,ce**님,교촌오리지날/1,2021-11-06 00:00:00,"16,000원",2호선 종합운동장역,서울특별시 송파구 잠실동 177-3 잠실동 177-3 제1종근린생활시설 177-3 잠실동 177-3 제1종근린생활시설,"프랜차이즈, 치킨",역시 맛나게 먹었어요 예상시간보다 훨 일찍도착했어요,역시 맛나게 먹었어요 예상시간보다 훨 일찍도착했어요,5,5,5,5,https://rev-static.yogiyo.co.kr/33bed6835a2b770cd1e26342791537e2.jpg,2021-12-08 23:33:25,나 예상 훨씬 일찍 도착 했 다
맛없으면환불해주는장군집-잠실점,le**님,"명품 생고기묵은지김치찜/1(사이즈 선택(소（2~3인）),맛 선택(순한맛),소분포장 추가 선택(소분포장 추가),추가 선택(소세지사리 추가)),왕왕계란말이/1,모듬만두/1,코카콜라 1.25L/1",2021-04-01 00:00:00,"20,000원",2호선 잠실나루역,서울 송파구 방이동 112-4 1층 일부,"프랜차이즈, 한식, 야식","맛있게 잘먹었습니다 
양이 많고 맛도 좋아요 👍",맛있게 잘먹었습니다  양이 많고 맛도 좋아요 ,5,5,5,5,-1,2021-12-12 04:16:47,좋 식사 하 세요 감사 합니다 나 했 다 양 많 고 맛 아서
스타동-봉천점,og**님,"믹스가츠동/1,사케동（생연어덮밥）/1",2021-02-13 00:00:00,"6,900원",2호선 봉천역,서울 관악구 봉천동 930-1 1층,일식/돈까스,"연어먹고싶을땐 항상 여기로 주문해요
진짜 두툼하고 고소하고 맛있어요ㅠㅠb",연어먹고싶을땐 항상 여기로 주문해요 진짜 두툼하고 고소하고 맛있어요ㅠㅠ ,5,5,5,5,https://rev-static.yogiyo.co.kr/22173218f78f4a814bb34543f27233de.jpg,2021-12-08 19:57:42,두껍 고 고소 하 고급 스럽 맛있 다
뚜레쥬르-신림사거리점,cl**님,"통밀크랜베리치킨샌드위치/1,V.E.L.T샌드위치/1",2021-11-12 00:00:00,"12,000원",2호선 신림역,서울특별시 관악구 신림동 1422-30 1422-30 1층,"프랜차이즈, 카페/디저트",뚜레쥬르 뚜레쥬르 뚜레쥬르 좋아요 좋아  👌,뚜레쥬르 뚜레쥬르 뚜레쥬르 좋아요 좋아   ,5,5,5,-1,-1,2021-12-08 20:42:35,코코 코 그리고
까르보네-신당1호점,fo**님,"까르보나라스파게티/1(사이즈 업 선택(사이즈 업)),치킨도리아/1,크림새우도리아/1,마늘빵 2조각/1",2021-11-14 00:00:00,"10,000원",2호선 신당역,서울특별시 중구 신당동 852 청구 e편한세상 e편한세상,피자/양식,"근처에 살 때 아이들이랑 종종 가서 먹었던 곳인데
배달도 되는걸 알고 몇 번 주문해봤어요. 
그 맛 그대로 양도 적당하고 좋습니다 :)",근처에 살 때 아이들이랑 종종 가서 먹었던 곳인데 배달도 되는걸 알고 몇 번 주문해봤어요.  그 맛 그대로 양도 적당하고 좋습니다   ,5,5,5,5,-1,2021-12-08 14:55:45,전달 할 수 있 곳 이 지만 가능 하 것 알 고 번 주문 했 맛 좋 다
응급실국물떡볶이&닭볶음탕-성수2가점,ti**님,"응급실 국물떡볶이/1(매운맛 선택(부상맛（달달한맛）),토핑 추가 선택(당면사리 추가,넓적당면 추가))",2020-07-26 00:00:00,"12,000원",2호선 성수역,서울 성동구 성수동2가 289-39 1층 1-1(가)호,분식,"빠른배달! 푸짐한 양! 기분좋은 서비스!
항상 감사드립니다~~ 너무 맛있게 잘 먹었어요:)
행복한 점심이었어요! 다음에 또 시켜먹을게요~
늘 행복한 하루 보내시길 바랍니다~
(하리보와 요구르트 포장 넘 귀엽네용♡ 진짜 감동♡)",빠른배달! 푸짐한 양! 기분좋은 서비스! 항상 감사드립니다~~ 너무 맛있게 잘 먹었어요   행복한 점심이었어요! 다음에 또 시켜먹을게요~ 늘 행복한 하루 보내시길 바랍니다~  하리보와 요구르트 포장 넘 귀엽네용  진짜 감동  ,5,5,5,5,-1,2021-12-08 14:02:41,하리보 거트 포장 진짜 감정
이디야커피-까치산역점,손님,"ICED 카페 아메리카노/1,Extra ICED 카라멜 마끼아또/1",2019-02-17 00:00:00,"8,000원",2호선 까치산역,서울 강서구 화곡동 349-15 광성빌딩,카페/디저트,"맛이야 다들 아는맛이고
양도 아는거고
배달이 빨랐어요~♡
음료 안쏟아지게 포장도 잘되어오고
배달비때문에 계속 고민하다 시켰는뎅ㅎㅎ
배달비아니라면 100점 만점에 100점",맛이야 다들 아는맛이고 양도 아는거고 배달이 빨랐어요~  음료 안쏟아지게 포장도 잘되어오고 배달비때문에 계속 고민하다 시켰는뎅ㅎㅎ 배달비아니라면 100점 만점에 100점,5,5,5,5,-1,2021-12-08 12:51:54,점 통해 배달 포인트
착한피자-사당점,01**님,페퍼로니피자 M/1(크러스트 추가 선택 M(추가 안함)),2020-12-14 00:00:00,"14,900원",2호선 사당역,서울특별시 동작구 사당동 1017-1 진흥빌딩 1017-1 진흥빌딩 1층,야식,믿고시키는곳!! 배달도 예상시간보다 훨씬 빠르게 도착했고 오늘 날씨가 엄청 추웠는데 피자상자 포장도 너무센스있게 해주셨어요 ㅠㅠ!! 리뷰이벤 올리브 선택했는데 올리브가 잔뜩..... 맛은 말해뭐해  늘 항상 맛있구요!! 오늘도 잘먹었습니다! 감사합니다^^,믿고시키는곳!! 배달도 예상시간보다 훨씬 빠르게 도착했고 오늘 날씨가 엄청 추웠는데 피자상자 포장도 너무센스있게 해주셨어요 ㅠㅠ!! 리뷰이벤 올리브 선택했는데 올리브가 잔뜩.. 맛은 말해뭐해  늘 항상 맛있구요!! 오늘도 잘먹었습니다! 감사합니다^^,5,5,5,5,-1,2021-12-16 14:28:26,리뷰 이벤트 선택 했 는데 올리브 가득 차 있 어서 언제나 맛있 오늘 좋 식사 하 세요
배영만당진아구/동태찜탕,rh**님,"아구찜/1(사이즈 선택(小（2人）),맛 선택(보통맛)),공기밥/1",2021-03-14 00:00:00,"10,000원",2호선 낙성대역,서울 관악구 봉천동 1628-2 1층,야식,항상 잘 먹고 있습니다 리뷰 이벤트도 너무 좋아요!!,항상 잘 먹고 있습니다 리뷰 이벤트도 너무 좋아요!!,5,5,5,5,-1,2021-12-16 14:55:40,나 리뷰 행사 좋아한다
