brand,menu,star,review
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음)),병진이형 간장치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음)),우유튀김（15개）/1,마늘갈릭소스/1",3,"후라이드를 딱 하나 먹었을때 닭 누린내가 났어요..그래서 후라이드는 내일 한번 돌려서 먹어보려구요.
에어후라이에 바짝 익혀서요...
닭 누린내 잡을때는 우유에 담그는게 제일 좋은 방법인데..
저는 누린내나는걸 되게 싫어합니다.
더이상 손이 안가네요...
*
고객의 소리에 귀기우려주시고 번창하세요."
파스타레토,"쉬림프알프레도파스타/1,치즈오븐스파게티/1",3,크림스파게티는 좀더 간이 되어있으면 더 좋을거같아요
불맛돼지-1호점,"불 삼겹살/1(사이즈 선택(1人-250g)),콜라/1",4,"리뷰이벤트 신청했는데 따로 주신건 없어요 서비스 이벤트인지라 꼭 받아야하는건 아닌데 주실줄 알았다가 못받으니깐 좀 아쉽긴하네요 ㅜㅜ
고기 맛은 엄청 맛있습니다
그리고... 마늘 많이 부탁 드렸는데ㅜㅜ 3조각... 이것도 아쉽..."
돈까스퐁당떡볶이공수간-구의점,"치즈떡 | 2단찬합（떡튀음료）/1(떡볶이맛선택(기본맛),음료선택(쿨피스 930ml),돈까스 선택(치즈등심돈까스)),토핑밥_참치마요밥/1",4,맛있는데 돈가스가 약간 아쉬움
박가족-장안점,朴家당일삶은왕족/1(사이즈 선택(대)),2,예정 시간 보다 30분이나 늑
설빙-강남역2호점,"요거통통메론설빙/1(스푼선택(스푼 4개)),팥인절미설빙/1(스푼선택(스푼 4개)),연유소스/2",1,솔직히 너무하네요... 두시간이걸리고 빙수도 녹고 너무 실망입니다. 반품하려다가 그냥 먹습니다.
버거킹-건대입구역점(24),"불고기와퍼주니어세트/1(음료변경(코카-콜라R（변경 없음 ）),사이드변경(프렌치프라이（R）)),콰트로치즈와퍼주니어/1",4,음식이 다 식어서온거 빼고 ㄱㅊ
모자족발&보쌈-분당정자직영점,족발（앞발）大/1,5,맛있어요 족발은 항상 여기서 시켜먹어요
스피드박스,"푸짐라볶이/1,튀김만두/1,스프라이트 500mL/1",2,"주문하자마자 1500원 배달료 추가된다고 저나왔는데,
전 배달료 추가는 상관없지만 현금이나 현장카드결제 계좌이체 번거로우니 앱에서 주문결제할때 한번에 할수있는 시스템이었으면 좋겠다고 했더니 계속 불친절하게 대답을 하시더라구요 저도 서비스업에 종사하는데 말투가 얼마나 중요한지 다시한번 느꼈습니다 직원분이신지 사장님이신지는 모르겠지만 고객이 불편함을 느낀다고 말하면 말투라도 친절하게 응대해주세요 기분이 상해서 그런지 맛도 그저그래서 다 남겼네요 라볶이 면은 불어있었고 튀김만두는 그냥 냉동만두 튀긴건데 좀 바싹 튀기시면 더 좋을것같아요"
작품파스타&피자,콤비네이션피자 （M）/1(토핑추가(피자치즈추가)),3,그저그런정도 ㅎㅎ입니다
KFC-세종대점,"핫크리스피치킨 5조각/1,블랙라벨폴인치즈박스/1(사이드변경(케이준후라이),음료변경(아메리카노（L）교환)),캡새버거/1,케이준후라이（L）/1,롱치즈스틱/2,코울슬로/1,콘샐러드/1",1,진심 별로임 서비스도 앗도 없음
KFC-세종대점,"징거박스/1(사이드변경(케이준후라이),음료변경(콜라))",1,"너무  늦게 와서, 콜라를 안가져왔어요😠.음식도 식혔어요"
한솥도시락-동천역U타워점,"메가 치킨제육/1,돈까스도련님 고기고기/1,왕치킨마요/1",1,"*받은기분이네요
물론 준비하셔서 빠르게 배달원분에게 넘기신것은 봤지만 배달 지연되었는데 미안하다는 말도 한마디없는 배달원분 태도와 배달중에 길헤매면서 성의없는 전화응대 심지어 배달받아 열었더니 개밥같은 비주얼의 음식을 받은 순간 늦은저녁먹으려는데 입맛이 떨어집니다 요기요 고객센터에 컴플레인을하려고 여기저기 눌러봐도 되질않네요 문제점 개선이 시급하다고 생각합니다
가맹점주님이 컴플레인을 거시든 댓글통해 고객센터쪽에서 보시면 답글 남겨주세요 
이런 *받으려고 배달비내고 시키지 않았습니다
기분 더럽네요"
육회한연어-건대점,"꼬마 연어회비빔밥/1,육회 물회/1",1,"연어먹다 비린내나도 먹었는데...
배탈나서 이틀동안 디질뻔햇습니다
육회도 냉동이 심해서 시간이 지나도
딱딱함...
똥밟았다 생각하는디..
사실 이런리뷰는 첨인데 
넘 실망이다"
빅스타피자-서울건대점,"반반피자 23,900메뉴（XXXL46cm）/1(반반피자선택1(갈릭새우스테이크피자),반반피자선택2(달콤구마 피자),음료&소스 추가선택(콜라 1.25L 추가))",1,맛없어요. 새우4개 있고 고개도 거의 없어요.  크기는 한데 1회용 장갑도 안 주고 손으로 먹어요?? 실망.....
칼국수한마당-미금점,"해물칼국수/1(조리 상태 선택(조리)),들깨 수제비/1(조리 상태 선택(조리)),겉절이 （600g）/1",4,"배달도 빠르고 
칼국수 맛있어요^^"
박가족-장안점,朴家당일삶은왕족/1(사이즈 선택(중)),5,맛잇게 잘 먹었습니다~ 양도 생각보다 많구 리뷰서비스도 2가지나 챙겨주셔서 잘 먹었습니당 ㅋㅋ 배달도 빨라서 좋았어요~
피자헛-죽전점,티본&쉬림프 리치골드L 인기세트/1,3,다른건 괘안은데   맛이  없네요
어도아구찜해물탕,"아구찜/1(사이즈선택(大),추가 선택(낙지 추가))",2,"낙지 절단 금지라 했는데 절단, 콩나물 짜고 양념 최고로 맛 없음. 아구에서 냄새 남. 지금까지 이곳 한 곳에서 계속 아구찜 먹었는데 오늘이 최고로 맛이 없었어요. 남은 아구 어떻게 먹어야할지..."
육회한연어-건대점,혼술세트1/1(사이드 추가선택(날치알주먹밥)),5,양도많고 엄청 배부르게 잘먹었어요!! 다음에 또 시킬게요~~
파스타레토,"고르곤졸라파스타/1,씨푸드크림파스타/1,마늘빵（5개）/1,미니샐러드 /1",2,파스타는 너무 빡빡하고 샐러드에 양상추는 쓰고..
KFC-세종대점,"블랙라벨폴인치즈박스/1(사이드변경(비스켓교환),음료변경(아이스아메리카노（L）교환)),닭껍질튀김/1,에그타르트/2",5,배달도 예상 시간 맞춰 도착해서 잘 먹었습니다.
칼국수한마당-미금점,"해물칼국수1&해물만두칼국수1/1(조리 상태 선택(반조리)),팥옹심이/1(조리 상태 선택(반조리))",4,"칼국수 굿
팥죽 soso"
네네치킨-정자점,레드마요치킨/1,2,"올림빅이라 그런지 배달시간은 70분이라고 나와서 기다리고 먹었는데
받고보니 다 식고 눅눅해져서 왔네요
다음부턴 다른 지점으로 주문할거 같네요"
파스타레토,"토마토씨푸드파스타/1,토마토핫칠리씨푸드파스타/1,치킨텐더（5개）/1",3,토마토칠리는 맛있었는데 그냥 토마토는 조금 맛이 밋밋했어요. 그래도 잘 먹었습니다.
장충동왕족발보쌈,족발 大/1(음료 변경(변경 안함)),4,맛있어용 ㅋㅋㅋㅋㅋ 양도 좋아요
어도아구찜해물탕,"해물찜/1(사이즈선택(中),추가 선택(낙지 추가))",4,"몇년전에 여기서 알탕 주문해 먹어보고 맛이 좋았던 기억이 있어서, 요번에 찜으로 주문했어요~!!
가족들 모두 맛있게 잘 먹었어요~!!!
반찬(?)으로 나온 고추가 좀 말라서 조금 아쉬웠지만, 한끼 맛있게 잘 먹었습니다. ;-)"
네네치킨-정자점,"레드마요치킨＋네네나쵸팩/1(사이드 추가(네네나쵸팩),음료 업그레이드(콜라1.25L 추가)),순살 반반/1(반마리 선택(순살네네마늘치킨반,순살후라이드반))",4,배터지게 먹고있어요.
테트리스찜닭-형곡점,"올해브랜드대상 까만찜닭（뼈）/1(당면 선택(납작당면),맛 선택(보통보다맵게),사이즈 선택(반마리))",4,리뷰보고 주문했는데..당면이 잘못되서 연락드려서 새로받았어요 너무 맛있었는데...재료가 없다고 상의연락 한번없이 찜닭 구성 재료를 바뀌어 전화연락을하니 재료가 떨어져 바꿨다고 너무 당당히 이야기 하신부분에선...실망이 크네요
강남족발,왕족발/1(사이즈 선택(중（2~3인분）＋콜라500mL)),3,"족발 넘 맛있어서 막 흡입중에 서비스로 주신
전을 먹다보니 머리카락 발견 뜨악 ㅜㅜ
머리카락도 같이 전부치셨네요 ㅎㅎ
조심 좀 하셔야겠어요"
우쿠야-미금점,"냉모밀SET1（냉모밀＋왕새우튀김 1개）/1,탕수육 미니/1",5,제일 맛있어요 ㅎㅎ 미니탕수육인데 양이 많아서 놀랐어요 ㅋㅋ
배달의쌀국수-건대점,"세트4（소고기쌀국수＋볶음밥）/1(고기 선택(양지),볶음밥 선택(나시고랭),쌀국수 추가 선택(청양고추 추가))",5,"쌀국수 국물이 뜨거워서 약간 식혀서 먹어야 할 정도로 배달 빨랐습니다
양도 적당하고 맛도 괜찮았어요
또 시켜먹을 생각입니다"
가락시장나래수산,"광어, 참돔/1(사이즈 선택(小),추가 선택(매운탕세트（생선뼈＋다데기＋새우,조개＋탕야채）)),초고추장/1, ""업그레이드""쌈장/1(수량 선택(1컵)),초생강＋락교/2(수량 선택(1컵))",4,잘 먹었습니다~~~
요리왕,고추짬뽕밥/1,5,푸짐한 내용물에 배 터짐요~
어도아구찜해물탕,아구찜/1(사이즈선택(大)),3,"다 좋은데 김치는 정말 화납니다
아예 주지마세요"
네네치킨-정자점,순살치즈스노윙치킨/1,5,잘먹겠습니다! 아이들이 좋아해요
강남족발,매운불족발/1(매운불족발(소（2인분）（음료별도）)),4,양도 적당하고 맛있어요 ! 근데 막국수는 완전 별로에요 ㅠㅠ
맛자랑24시찜닭닭도리,닭볶음탕/1(닭볶음탕 사이즈 선택(小)),4,맛도 배달도 조았는데 아주맵게를 부탁드렸는데 ..맵지안아서..그거 빼고는 만족합니다.
장독대김치찌개-선릉점,"장독대 김치찜 정식/2,장독대김치찌개 （1人）/1",3,김치도 알 맞게 잘 익어서 아주 단백했읒니다!
한솥도시락-동천역U타워점,"칠리 찹쌀탕수육도련님/1,치킨마요/1,소고기 육개장/1,감자고로케（5개입）/2",3,밑반찬이 조금 딴곳보다 약한느낌ㅜ
강남족발,"왕족발/1(사이즈 선택(대（3~4인분）＋콜라500mL)),함흥물냉면/1",1,"족발진짜 진짜  맛없네요.
상추는 다상하고. . . 진짜별로"
빅스타피자-서울건대점,"반반피자 20,900메뉴（XXXL46cm）/1(반반피자선택1(슈퍼콤비네이션피자),반반피자선택2(달콤구마 피자),토핑 추가선택(치즈크러스트 추가 （115g）),사이드 추가선택(치즈오븐스파게티 추가),음료&소스 추가선택(사이다 1.25L))",5,배달 빠르고 피자 맛있어요. 박스가 반으로 잘려있는거보고 첨엔 잘못 시킨 줄 알았는데.박스에 써있는거보고 이해했네요.
작품파스타&피자,"피자＋파스타＋코카콜라 245ml＋수제피클 제공/1(콜라선택(코카콜라 캔 245ml),피자선택(모짜렐라 마르게리따 피자),파스타선택(알리오올리오 파스타),음료 추가 선택(코카콜라 1.25L))",1,"모짜렐라 피자는 토마토가 녹아서 박스가 흥건하게 젖어서 왔고, 알리오올리오 파스타는 태어나서 먹어본 파스타 중에 가장 맛이 없었습니다. 면은 불었고 기름을 잔뜩 흡수해서 니글니글한 맛밖에 나지 않아서 한입 먹고 버렸네요."
멕시카나-화양점,"순살반반/1(순살반반 선택(순살후라이드 반,순살양념치킨 반),음료(콜라추가500ml))",5,"또시켜먹었어요

맛있게 잘 먹었습니다"
파스타입니다-용인수지점,"（곧 1위 될）우삼겹 짬뽕파스타/1(맛 선택（기본~칼칼）(기본),음료 추가선택(코카콜라（355ml） 뚱캔)),（곧 1위 될）우삼겹 짬뽕파스타/1(맛 선택（기본~칼칼）(매콤1단계))",3,"잘먹었습니다. 근데 60분걸린다하고 35분만에 오셔서 바로 먹지는 못했어요. 밖에있었어서  시간계산 하고 미리 시킨건데 10-15분정도 차이도 아니고 너무 일찍오셔서요. 게다가 면요리인데 예상시간이랑 너무차이나네요. 차라리 불지않게 조금 늦게오는게 낫죠. 무조건 오래걸린다고 하고 빨리 오면 마냥 좋은게 아닙니다. 
그리고 이 메뉴는 기본맛도 맵고 1단계는 많이 맵네요. 나쁘지 않았지만 맛자체가 “매콤”아니고 그냥 매움. 배달 파스타인데 가성비 좋다는 느낌은 못받았어요."
원할머니보쌈-구미형곡점,"의성마늘떡보쌈/1(보쌈사이즈선택1(중 （생육710g이상,수육500g）))",4,배부르게 잘 먹었습니다~~~!
테트리스찜닭-형곡점,"순살 하얀 찜닭/1(당면 선택(납작당면),맛 선택(보통맛),찜닭 선택(까만찜닭 보통맛),사이즈 선택(반마리),음료 추가선택(스프라이트 500mL 로 변경))",5,항상 잘먹고 있습니다 다음에 또 주문할게요
배달의쌀국수-건대점,"세트4（소고기쌀국수＋볶음밥）/1(고기 선택(양지),볶음밥 선택(새우볶음밥),쌀국수 추가 선택(청양고추 추가))",5,진짜 존맛탱이구 양많아요. 친구랑 둘이서 먹고 소주4병 깠습니다 보통 국물 식으면 맛 없잖아요? 이건 식어도 맛있어요..보증합니다..그리고 전자레인지에 돌리면 다시 뜨거워져요.. 근데 맛있어요.. 양 많고 맛있어서 가격이 아깝지 않습니다. 꼭 드셔보세요 리뷰 엄청 보고 판단하기까지 오래걸렸습니다. 리뷰이벤트가 없는데 댓글을 이렇게 단다? 의심하셔도 소용없습니다 그럼 저 혼자 몰래 먹을거에요 히히
배달의쌀국수-건대점,소고기쌀국수/1(고기 선택(차돌)),4,"맛도 무난, 배달도 적당, 양도 적당~"
파스타레토,"토마토핫칠리씨푸드파스타/1,마늘빵（5개）/1,미니샐러드 /1",3,자주먹는집이배달준비중이라시켰는데 쏘쏘~~해물이없넹
스피드박스,"소고기미역국정식/1,녹돈목살김치찌개/1",3,맛있고 양도 많고 배달도 빨랐는데 배달 용기가.. 뜨거운국이 비닐봉지에 싸여 배달되는데 너무 찝찝했어요. 요새 전자레인지 가능한 마크 찍힌 플라스틱 용기도 나와 있는데 말이에요. 이것만 아니면 단골될 각인데 아쉽습니다.
설빙-강남역2호점,"인절미설빙/1(스푼선택(스푼 2개)),인절미꿀떡/1,딥초코츄러스/1",4,"인절미설빙이 맛났다.생각나는 맛! 고소하고 부드러움.떡 토핑도 말랑해서 좋았고,인절미 가루도 충분하다.
인절미꿀떡은 꿀떡에 인절미가루가 따로 따라온다.
다만 꿀떡의 소스가 계피향 같은것이 꾀 진하다.
딥쵸코 츄러스는...기름에 누진맛? 만든지 오래된듯..역시 츄러스는 갓 만든것을 사먹어야하나..
초코맛도 별로안나고..
다만 따라온 찍어먹는 초코 소스가 진하고 맛다.
생딸기 쥬스는 착한 맛! 약간 단듯 했으나 맛났다.
건강해지는 느낌이랄까? 어쨋든 맛남"
빅스타피자-서울건대점,"반반피자 18,900메뉴（XXXL46cm）/1(반반피자선택1(달콤구마 피자),반반피자선택2(고르곤졸라)),연유바게트/1,콜라 1.25L/1",4,평소에 자주 시키는데 오늘은 고르곤졸라에 끌이 안 왔네요 이제 별도로 판매하나요
포메인-분당오리역,"해산물 팟타이/1(식기 선택(일회용숟가락,젓가락포함))",3,그냥 쏘쏘합니다~
나혼자돈까스왕,"수제고구마치즈돈가스세트（수제고구마치즈돈까스＋반우동 or 반냉우동 中 택1）/1(메뉴 선택(반냉우동)),콜라 500mL/1",4,맛있었어요. 고구마치즈돈까쓰는 고구마가 엄청 마니들어가서 달아요. 담엔 치돈먹오볼래요
정봉자당진아구동태찜탕,1인아구찜 /1(맛 선택(순한맛)),5,맛있고 양도 많아요~!! 추천합니다^.^
불맛돼지-1호점,삼겹살/1(사이즈 선택(1人-250g)),2,아니 전화는왜안되나요
맛자랑24시찜닭닭도리,"안동찜닭/1(사이즈 선택(小),사리추가(당면사리)),공기밥  /1",3,여기 닭전문점은아닌거같네요
취홍-강남점,2세트（탕수육＋쟁반짜장2인＋만두）/1,2,"중국집 생각날때마다 시켜먹던 집인데 
쟁반짜장은 기름이 가득 가라앉아있고 느끼합니다
그나마 탕수육이 먹을만했는데 그건또 예전보다 양이 작네요
이번에 실망입니다"
배달삼겹돼지되지-구의점,"오리지날/1(사이즈 선택(솔로 （250g）),고기 선택(삼겹살),음료 선택(콜라))",4,정갈한 음식 잘먹었습니다
원할머니보쌈-구미형곡점,"모둠보쌈/1(보쌈사이즈선택4(소 （생육500g이상,수육350g）))",5,또 시켜먹고 싶은맛이었네요
KFC-세종대점,"커넬콘소메블랙라벨 1조각/1,맥앤치즈볼 4개/1,신갓쏘이치킨 1조각/1,타워버거/1,코울슬로/1",2,"너무 짜고 다 식어서 왔어요ㅠ
미리 만들어 놓은거 주신 것 같은데 식은채로 먹으니까 더 짰네요,, 치킨은 여러뭐로 아쉽,,"
김가네-정자역점,"소고기김밥/1,소불고기 덮밥/1,콩국수/1",5,"소불고기 덮밥은 여기 다른 음식에 비해 간이 약해요.
뚝배기불고기 비슷하게 달고 짭조름한 맛이 가미되고 국물도 자작하면 좋을 것 같습니다.
다른 메뉴는 맛있게 잘 먹었습니다."
장독대김치찌개-선릉점,장독대 김치찜 정식/1,2,"김치는 맛있는데
고기는 제육과 김치찌게에 있는 모든 고기에서 먹기 힘들 정도로 냄새가 너무낫음니다
다음부터는 좀 좋은 고기를 사용해주시길 바람니다"
얌얌떡볶이-본점,"매운맛/2,찰순대만/1,김말이（3개）/1,고추튀김（2개）/1,불고추김밥/1",3,배달원분은 친절하셨는데.. 떡볶이랑 순대는 미리 포장해놓은걸 전자레인지에 돌린거 같네요 튀김도 그닥.. 다시 안시킬듯
원할머니보쌈-구미형곡점,"의성마늘떡보쌈/1(의성마늘떡보쌈 사이즈선택(중 （생육710g이상,수육500g）)),콜라1.25L/1",5,"양도 푸짐하고 깨끗한 포장 너무 좋았어요~~
맛도 물론 이였구요!!"
작품파스타&피자,"1인 Set메뉴（피자＋파스타＋코카콜라 245ml＋수제피클 제공）/1(콜라선택(코카콜라 캔 245ml),피자선택(고르곤졸라피자),파스타선택(까르보나라 파스타))",4,파스타 맛있어요 근데 피자는 늦게 먹어서인지 그냥 그러네여 보통
장독대김치찌개-선릉점,장독대김치찜/1,2,맛있는데 양 왜이러죠ㅠㅠ 혹시 고기 잘라두시고 깜빡하고 안넣으셨나요 김치 위에 두조각 달랑 있어서 아래에 고기가 깔려있나보다 했는데 암것도 없네요...??ㅜㅜ 밥 두숟갈 먹고 김치랑 먹엇어요ㅜㅜ...
정봉자당진아구동태찜탕,"순살아구찜（순살100%,뼈없음）/1(사이즈 선택(小),맛 선택(매운맛))",3,맛은 있는데 양이 너~~~~무 적어요....
가락시장나래수산,해물모둠（전복＋멍게＋해삼＋개불）/1,2,"35000원짜리 해산물 세트가 양이 너무적어 몇젓ㄱㅏ락으로 끝인데..
배달비만9500원..살다보니 별일다있음"
파스타레토,"감베로니파스타/1,비프치즈그라탕/1",3,"감베로니엔 껍질있는 새우 두마리가 있어요 소스는 묽음
비프치즈그라탕 양이 엄청 많긴 한데 고기는 그냥 토마토소스에 갈아져 있는 느낌? 씹히는게 거의 없어요"
육회한연어-건대점,혼술세트1/1,5,늘 맛있게 먹고있어요~ 신선하고 배달도 빨라서 너무 좋아요ㅎㅎ
강남족발,"보족세트（족발＋보쌈）/1(보족세트 사이즈 선택(중（2~3인분）＋콜라1.25L)),냉메밀막국수/1",2,"배달 1시간 20분 걸렸구요.
고기 상태가 좋지 못한거 같아요..
살들이 종이같아요.
기름이 뭉쳐서 고여있구요.
양도 썩 많지 않네요..."
파스타레토,"봉골레파스타/1,콘샐러드/1,미니샐러드 /1",3,맛있는데 너무 매워요.. 이정도로 매울거면 맵다고 표기좀 해 주셨으면 좋겠네요. 그리고 용기가 너무 새네요..
파스타레토,"크림스파게티/1,치즈스틱（7개）/1,치킨텐더（5개）/1",3,배달은 빠른데 크림 스파게티가 조금 싱거워서 아쉬웠어요~~
취홍-강남점,"삼선짬뽕밥/1,세가지맛1（탕수육＋짜장＋짬뽕）/1(곱빼기 추가(곱빼기 추가))",2,삼선짬봉밥 시켰는데 양파 두개 썰어넣은듯 양파만있고 해물은 거의 없네요. 이게 뭔가요. ㅠㅠ아들이 양파 걷어내 전 사진. 걷어낸후 사진. 걷어내고나니 국물만 횡하니... ㅠㅠ 사춘기아들의 잔소리만 엄청듣고 치킨 다시 시킵니다
스피드박스,"스팸김치찌개/1,모듬치즈떡볶이/1,라면사리추가/1",1,❌❌❌❌❌❌❌❌❌❌
파스타레토,"양송이베이컨파스타/1,치즈오븐스파게티/1,미니샐러드 /1",1,"사진하나만 남기고갈게요

먹다가 입에서 고무줄이 나왔네요 

리뷰같은거 처음 써봅니다"
설빙-강남역2호점,인절미설빙/3,2,설빙 빙수는 좋아하니까 맛에대한 평가는 제외하고... 배달이 2시간이 걸리니.. 바쁘면 주문을 받지말아야죠 ..배달비8500원까지 지불했는데 정확히 2시간10분만에도착..
버거킹-분당상록점,"치즈렐라와퍼 세트/1(음료변경(코카-콜라R（변경 없음 ）),사이드변경(프렌치프라이（R）)),21치즈스틱/1,콘샐러드/1",1,뭐하나 빠트리는게 컨셉인 가게 할인행사하니까 바쁠테니까 그러려니싶다가 저번에는 또 콜라가 안왔길래 기분이 상해 6번의 전화연결시도끝에 콜라 배달받았는데 오늘은 콘샐러드가 안왔네요 영수증에 형광펜으로 밑줄까지 치셨던데 .. 가끔 매장가서도 먹기에 직원분들 친절하신걸 알지만 신경 쓰셔야할것같네요
버거킹-건대입구역점(24),"화이트갈릭와퍼 세트/1(음료변경(아이스아메리카노),사이드변경(프렌치프라이（R）)),콰트로치즈와퍼주니어/1,통새우와퍼주니어/1,코코넛쉬림프3조각＋칠리소스/1,아이스초코/1",4,"흠 맥날에서 나왔던 창녕갈릭버거의 대항마인가 싶어 시켜봤는데 마늘향/맛은 확실히 덜 하고, 그냥 햄버거로선 음 한끼 정도 입니다. 토핑이 맥날 고기마카롱마냥 없진 않으니 그건 다행입니다."
스피드박스,"일본식생돈까스정식/1,감자칼국수/1",2,"칼국수면을 따로 주시지.다불어서 흐물거려 끊어져요.ㅠㅜ  돈까스소스가 너무 신맛나서 별로에요.
개인적으로 신맛은 진짜싫음. 김치도 신김치. 다른 동종 앱에서는 리뷰보니 스피드박스에서 반찬으로 김치전도 제공되던데 여기 같은곳 아닌가요? 안주시는건지 빠뜨리신건지. 반찬뜯는 따개도 안왔고 전체적으로 별로였어요
다신 안시킬것 같아요"
강남족발,"보족세트（족발＋보쌈）/1(보족세트 사이즈 선택(소（2인분）)),비빔냉면/1",2,다신 안시켜먹을생각임..다 버림..ㅠ
KFC-세종대점,"고추콰삭치킨 8조각/1,타워버거/1",5,고추과삭치킨 완전 사랑해요~
설빙-강남역2호점,"인절미마카롱설빙/1(스푼선택(스푼 2개)),딥초코츄러스/1",2,"배달 1시간반만에 와서는 추가배달료까지 요구
시키지 마세요"
장독대김치찌개-선릉점,짜글짜글 2人/1,2,"장난치나요 지금 한시간인데 
연락처 하나도 어뵤고 피드백 문자딸랑
이게익스프레스인가?이렇게 할거면 장사접으세요"
집밥으로우주정복,"우주정복고기도시락/1(고기도시락 선택(숯불삼겹살도시락),추가 선택(고기 100g 추가))",5,맛있게 잘 먹었습니다👍
맛자랑24시찜닭닭도리,"뼈없는 찜닭/1(사이즈 선택(小),사리추가(사리추가안함))",2,닭에서 냄새가 너무 ㅜㅜ
테트리스찜닭-형곡점,"올해브랜드대상 까만찜닭（뼈）/1(당면 선택(둥근당면（당면 추가불가）),맛 선택(매운맛),사이즈 선택(한마리),토핑 추가선택(삼각멘보샤 10개),음료 추가선택(스프라이트 500ml 로 변경))",5,"단골찜닭~
오늘은매운맛으로^^
깜짝서비스도.감사합니당"
나혼자돈까스왕,"수제 후레쉬 돈가스/1,수제 고구마치즈 돈가스/1",1,오래된기름으로 튀긴듯해요;; 까맣게 되있네요
테트리스찜닭-형곡점,"올해브랜드대상 까만찜닭（뼈）/1(당면 선택(납작당면),맛 선택(보통맛),사이즈 선택(반마리))",5,항상 여기에서 시켜먹어요~
나혼자돈까스왕,"수제 후레쉬 돈가스/1,수제 고구마치즈 돈가스/1,수제 치즈 돈가스/2,수제후레쉬돈가스세트（수제후레쉬돈까스＋반우동 or 반냉우동 中 택1）/2(메뉴 선택(반우동))",3,"음식은 맛있어요.
6개 주문했어요.
익스프레스로 1시간 걸려서 받았네여.
가게는 배차탓
고객센터는 음식늦은탓"
요리왕,탕수육정식（탕수육＋볶음밥＋짜장＋짬뽕국물）/1,3,"짜장면은 너무 불고 탕수육은 딱딱했어요
맛도 그냥 그랬어요"
첼리와비올라,"F정식（양많음）/1(소스 추가(일반소스),추가 선택(치즈 오븐으로 변경))",4,양도 엄청 많고 너무 맛있어요!!
원할머니보쌈-구미형곡점,"의성마늘떡보쌈/1(보쌈사이즈선택1(소（생육500g이상,수육350g）))",5,"포장용기에 담아오니 넘 깔끔하고 먹기도 편하네요.
맛있게 잘 먹었습니다."
육회한연어-건대점,육회 180g/1(추가선택(육회 100g추가)),4,"배달 잘못와서 1시간 40분걸렷는데
맛잇어서 화풀렷네요ㅡㅡ 제대로 배달해주세요 ㅡㅡ"
